subj,ROI,R2
1,V1,0.0812474563452778
1,V1,0.0927305894217415
1,V1,-0.00247576703275343
1,V1,0.0480826296283958
1,V1,0.0854046858415611
1,V1,0.132358488212623
1,V1,0.166722448521548
1,V1,0.102186152892882
1,V1,0.0764004636725282
1,V1,0.0525685321185455
1,V1,0.0321422130610046
1,V1,0.00482363812196668
1,V1,0.000698910274628872
1,V1,0.0690525386141332
1,V1,0.0782530803629425
1,V1,0.0260904200946751
1,V1,-0.000417842453347195
1,V1,0.0736345617712542
1,V1,0.0450397165420012
1,V1,0.0185098938531154
1,V1,0.025716183645403
1,V1,0.0592618620222479
1,V1,0.0929456614587572
1,V1,0.107559954667574
1,V1,0.088666607569221
1,V1,0.0767557781587034
1,V1,0.0692002614996715
1,V1,0.088612880463067
1,V1,0.0405010238489122
1,V1,0.017444110496464
1,V1,0.0439657667079107
1,V1,0.0610516987620133
1,V1,0.0566543109461668
1,V1,0.121512787285963
1,V1,0.104663891672043
1,V1,0.118721457276229
1,V1,0.0362275623574586
1,V1,0.0905584832997803
1,V1,0.0771649718571977
1,V1,0.0709284713681368
1,V1,0.0167653325783199
1,V1,0.0161010683260524
1,V1,0.00993434942345878
1,V1,0.00101671611186327
1,V1,0.0333406137453717
1,V1,0.0527904881728298
1,V1,0.0633335143275716
1,V1,0.0420724248791886
1,V1,0.0133839752335259
1,V1,0.0245539786766414
1,V1,0.0355761407317614
1,V1,0.0228343769242264
1,V1,0.0014635292653522
1,V1,0.0117954049535229
1,V1,0.0288412149880655
1,V1,0.0992922777087304
1,V1,0.126585360838686
1,V1,0.0711972955859708
1,V1,0.0452402297586605
1,V1,0.0500512317910252
1,V1,0.0178201919863337
1,V1,0.0210411656052214
1,V1,0.0156961942491775
1,V1,0.00231511340236074
1,V1,0.00312953249337106
1,V1,0.0155890683646432
1,V1,0.0137984060791987
1,V1,5.8797671355082e-06
1,V1,0.0903249876355993
1,V1,0.108409595971574
1,V1,0.00650609600982716
1,V1,0.108668209652655
1,V1,0.0980782704212457
1,V1,0.0688259686406034
1,V1,0.0908248662914176
1,V1,0.0932472301799492
1,V1,0.0595305996518834
1,V1,0.0221986628186429
1,V1,0.00777867628183537
1,V1,-0.000178257521918246
1,V1,0.105841151722682
1,V1,0.143482020104914
1,V1,0.112117439731796
1,V1,0.0685789344500945
1,V1,0.0654912561870617
1,V1,0.0873110917768986
