subj,ROI,R2,curvPref
1,V1,0.0180216348845584,7
1,V1,0.00771951329501636,8
1,V1,0.0170004512156335,8
1,V1,0.0400216741178578,5
1,V1,0.0193923151126646,5
1,V1,-0.000982082636199144,8
1,V1,0.0115565315844949,6
1,V1,0.00821497897431112,6
1,V1,-0.000723452182649242,6
1,V1,-0.000149515357708019,6
1,V1,-0.000819942684183728,7
1,V1,-0.000642957105584652,8
1,V1,0.000230444748238134,6
1,V1,0.000235326762957178,7
1,V1,-0.00121249354178132,3
1,V1,-0.000850773150126494,3
1,V1,0.0010099239863407,7
1,V1,8.57167299521122e-05,6
1,V1,-0.000676596664422879,7
1,V1,-0.000986372001680058,8
1,V1,0.0219054576047986,7
1,V1,0.00880929850552381,6
1,V1,0.0132768066436729,6
1,V1,0.00171825378183638,6
1,V1,0.0322046527000314,6
1,V1,0.0236913552219334,6
1,V1,0.0102784783740348,6
1,V1,0.00852126820865573,3
1,V1,0.00955395008946286,6
1,V1,0.060092044830886,6
1,V1,0.0701865173708307,6
1,V1,0.0446847348863053,6
1,V1,0.0418429023391201,7
1,V1,0.119828156428678,7
1,V1,3.99652451620325e-05,6
1,V1,0.00210418271378138,6
1,V1,-0.000446982761406423,7
1,V1,0.0283109995368135,6
1,V1,0.0213195690141364,6
1,V1,0.0425214366118474,5
1,V1,0.0759601506963509,5
1,V1,0.00838582936151544,6
1,V1,0.00179976454135833,2
1,V1,0.000269465439406924,8
1,V1,0.020567895496014,6
1,V1,0.0406169937332351,7
1,V1,0.0408579709067459,7
1,V1,0.013317497732019,4
1,V1,0.0500088136268146,2
1,V1,0.0312843309713471,6
1,V1,0.0461734638182557,7
1,V1,0.10630592337176,7
1,V1,0.00637943666920937,5
1,V1,-0.000490235353673596,5
1,V1,0.097321503169691,6
1,V1,0.124295869549785,6
1,V1,0.0283546474966231,6
1,V1,0.0516155131548595,6
1,V1,0.120476944121165,6
1,V1,0.000621898345731398,6
1,V1,-0.000747636360429293,6
1,V1,0.0286141431896044,6
1,V1,0.105205729928929,6
1,V1,0.021783888076331,5
1,V1,0.0252055764427511,6
1,V1,0.0263301211294024,7
1,V1,0.038453349267758,6
1,V1,0.00946669211502232,5
1,V1,0.0197931842660135,5
1,V1,0.0471577213753893,6
1,V1,0.113778412637385,6
1,V1,0.014404855034939,7
1,V1,-0.000327893866329809,8
1,V1,0.0431350003189354,3
1,V1,0.0933249257507872,6
1,V1,0.0609198780269801,6
1,V1,0.0206639346479069,7
1,V1,0.0821358437918361,6
1,V1,0.0236335644741361,7
1,V1,0.00205315115611587,6
1,V1,0.103220234622077,7
1,V1,0.138761454050668,6
1,V1,0.0433327573911574,6
1,V1,0.0619856498789402,7
1,V1,0.00989855880419782,3
1,V1,0.0248080553359595,7
1,V1,0.127763764760024,7
1,V1,0.00383293913840543,8
1,V1,-0.00128582866643501,7
1,V1,0.126347100814666,7
1,V1,0.168780321651821,6
1,V1,0.056576842265729,6
1,V1,-0.000899315579846127,6
1,V1,0.0375061139184491,6
1,V1,0.0378130483480624,6
1,V1,0.0066469586864038,6
1,V1,0.00624436427480923,6
1,V1,0.0271136178942813,6
1,V1,0.0413643093584911,6
1,V1,0.0749062128730678,6
1,V1,0.141894715258757,5
1,V1,0.042708150781563,7
1,V1,0.0314763797287665,7
1,V1,0.0757275578382163,6
1,V1,0.070535101140104,6
1,V1,0.0791850968116491,6
1,V1,0.105604995086216,7
1,V1,0.179085780912386,2
1,V1,0.0178729622468781,7
1,V1,0.0096363000810058,8
1,V1,0.00770904309624532,4
1,V1,0.0860063836580172,6
1,V1,0.0930590034492873,6
1,V1,0.00153897175020651,7
1,V1,0.0815203298183611,7
1,V1,0.0127967466364091,6
1,V1,0.0855634251398074,7
1,V1,0.0752768736547241,7
1,V1,0.0405216028962521,6
1,V1,-0.0018484199269565,7
1,V1,0.124651381702421,6
1,V1,0.0679856525798864,5
1,V1,0.00358430302476015,2
1,V1,0.00487206160174514,3
1,V1,0.0139854311696769,4
1,V1,0.0525576511946081,6
1,V1,0.0420127180048558,6
1,V1,0.0856904323543141,6
1,V1,0.0424702408715278,6
1,V1,0.0456411156478415,6
1,V1,0.0155026816080136,8
1,V1,0.0060837973331383,6
1,V1,-0.000171137044447711,8
1,V1,0.160868854709391,2
1,V1,0.144513554217876,6
1,V1,0.0210058603975816,2
1,V1,0.0427763968708081,6
1,V1,0.0550192307613286,2
1,V1,0.00276621136721028,7
1,V1,0.0556776284109579,2
1,V1,0.00127125805583383,5
1,V1,-0.000169662819705096,3
1,V1,0.0377631869281405,6
1,V1,-0.000558354177933817,4
1,V1,0.0591804305614076,2
1,V1,0.0814331747039859,7
1,V1,0.092744912605061,2
1,V1,0.122880995535333,2
1,V1,0.162896066401806,2
1,V1,0.0121833504243008,7
1,V1,0.0414076597580955,7
1,V1,-0.000116535658375605,2
1,V1,0.058148596948921,6
1,V1,0.0612343474347038,6
1,V1,0.22552626452529,2
1,V1,0.175136480687773,2
1,V1,0.186314093406251,2
1,V1,0.147647540209713,7
1,V1,0.0145947046770349,7
1,V1,0.0966712459308838,2
1,V1,0.124341261519031,6
1,V1,0.0138678507484873,2
1,V1,0.184969919457408,6
1,V1,0.189356198929951,7
1,V1,0.0744711939614115,8
1,V1,0.00565467828659288,6
1,V1,0.0305900671085153,3
1,V1,0.0197745698376027,6
1,V1,0.142923975358269,2
1,V1,0.0712337255561857,6
1,V1,-0.000514186139381034,8
1,V1,0.00705334384838874,6
1,V1,0.0421578497810992,6
1,V1,0.0328889369720963,6
1,V1,0.000822709158204815,7
1,V1,0.000124021434438959,6
1,V1,0.114359518564719,2
1,V1,0.0835857381042042,6
1,V1,0.0306542046196737,6
1,V1,0.00721575233646965,7
1,V1,0.00504147047653242,6
1,V1,0.0547312741236475,6
1,V1,0.0226311031641875,6
1,V1,0.00731539619707355,7
1,V1,0.0916551879765434,7
1,V1,0.0555336649592108,6
1,V1,0.239256011733901,2
1,V1,0.0160436900124068,6
1,V1,0.0147645451085136,6
1,V1,0.0120221693779657,7
1,V1,0.0916080578285742,2
1,V1,0.0136265453031088,7
1,V1,0.150286036553071,7
1,V1,0.151436845153134,7
1,V1,0.12942913625154,7
1,V1,0.121749769280332,2
1,V1,0.143688828403465,2
1,V1,0.212675628996047,6
1,V1,0.0474679207035468,6
1,V1,0.18860101964344,6
1,V1,0.0209387372572345,7
1,V1,0.0194425017191922,6
1,V1,0.0139245629213688,7
1,V1,-0.0011405137799938,4
1,V1,-0.000375978842498181,5
1,V1,0.0158581154401288,7
1,V1,0.0703178919495423,2
1,V1,0.0230972291866728,7
1,V1,0.0284908378509813,2
1,V1,0.0575500074693623,6
1,V1,0.0226082212930203,7
1,V1,0.0715742243441526,6
1,V1,0.037698087737101,6
1,V1,0.0474433686137863,6
1,V1,0.199465510072693,2
1,V1,0.229465468832265,6
1,V1,0.00186123535655919,7
1,V1,0.134006211680358,2
1,V1,0.0360422377227235,2
1,V1,0.122081464503347,2
1,V1,0.213643924431579,6
1,V1,0.0167529845856787,3
1,V1,0.0110259619875906,6
1,V1,0.00823741024137159,6
1,V1,0.00564302330718575,6
1,V1,0.00892875089386791,5
1,V1,0.078584240738253,3
1,V1,0.131898967392176,6
1,V1,0.0201533806653245,7
1,V1,0.20932784413919,2
