subj,ROI,R2,curvPref
1,V1,0.0258370360238027,4
1,V1,0.0114322232874334,7
1,V1,0.0158730264899326,6
1,V1,0.0452893151252477,2
1,V1,0.0192509092004233,2
1,V1,0.000466642885440516,7
1,V1,0.0275055482414817,8
1,V1,0.0139370197889759,4
1,V1,0.00107925472694292,8
1,V1,0.000127608178383365,7
1,V1,-0.00134469389151326,3
1,V1,0.00162614751368201,5
1,V1,-6.46693944489352e-06,4
1,V1,0.0014008369071295,4
1,V1,-0.0012240160390341,3
1,V1,-0.000189061381385358,8
1,V1,0.00139838025093142,8
1,V1,-0.000281577221347806,6
1,V1,-0.000221259142735297,6
1,V1,-0.000480798556707351,7
1,V1,0.0336985076616828,2
1,V1,0.012723095229391,7
1,V1,0.0154137154282171,6
1,V1,0.00582349220949946,3
1,V1,0.0567730574601828,3
1,V1,0.0363672748345278,6
1,V1,0.0102970451045,3
1,V1,0.0241479682970592,8
1,V1,0.0202333915964982,6
1,V1,0.0952797486845827,6
1,V1,0.0988502314380115,6
1,V1,0.0643745677111217,6
1,V1,0.060572179927156,6
1,V1,0.130268495800567,6
1,V1,1.38413439333962e-05,2
1,V1,0.00785318944024116,8
1,V1,-5.27903784177108e-05,5
1,V1,0.0537476081901313,8
1,V1,0.0395796144774135,8
1,V1,0.0493522035515006,6
1,V1,0.0875729347948452,6
1,V1,0.0127075108888213,3
1,V1,0.00283514126669981,7
1,V1,9.53876215882832e-05,7
1,V1,0.0334791605813153,6
1,V1,0.0580115881674212,6
1,V1,0.0440498437710696,6
1,V1,0.0429551020335646,8
1,V1,0.0964267122275684,8
1,V1,0.048882638237191,8
1,V1,0.0673790130208476,6
1,V1,0.118411949585482,6
1,V1,0.0282618229450863,5
1,V1,0.00121234567161127,2
1,V1,0.158596112239806,6
1,V1,0.189452063535686,6
1,V1,0.0451179033415267,8
1,V1,0.063225436135778,6
1,V1,0.138129269463071,6
1,V1,0.0058072638281641,5
1,V1,0.000177701685215081,8
1,V1,0.0615109374075669,8
1,V1,0.179351061038807,6
1,V1,0.0355903221268793,6
1,V1,0.0345621742626486,6
1,V1,0.0664714704416635,8
1,V1,0.078268131720667,8
1,V1,0.0182308401351547,8
1,V1,0.0303799493060193,4
1,V1,0.0693350647830284,6
1,V1,0.125383320123027,6
1,V1,0.0570534607140901,8
1,V1,0.00593615668721947,5
1,V1,0.0936327703572934,8
1,V1,0.137230812056103,6
1,V1,0.0850017932776544,6
1,V1,0.0275838675372608,6
1,V1,0.0896413277116387,6
1,V1,0.0661882543642696,8
1,V1,0.0049619217953849,7
1,V1,0.173429312818452,8
1,V1,0.20927519477409,6
1,V1,0.0719934317563549,8
1,V1,0.0706670856144261,6
1,V1,0.0205048457542302,4
1,V1,0.0617839853895801,8
1,V1,0.203026159610243,6
1,V1,0.00874031484287824,8
1,V1,-0.000650068880445054,4
1,V1,0.131499678732013,6
1,V1,0.175995109806785,6
1,V1,0.0651496677149242,4
1,V1,-0.00168657235405889,3
1,V1,0.0420982192484244,6
1,V1,0.0366748595748562,4
1,V1,0.0130916977978935,6
1,V1,0.0191855643736349,8
1,V1,0.0451590006038766,6
1,V1,0.0540954257077805,6
1,V1,0.0921777236963411,6
1,V1,0.156861318287609,6
1,V1,0.0975849075127714,8
1,V1,0.0777269034444831,8
1,V1,0.115409185685294,6
1,V1,0.0925678134460692,6
1,V1,0.104061089860403,6
1,V1,0.129837007999767,6
1,V1,0.190887116500586,6
1,V1,0.063685330155738,8
1,V1,0.0246229779178287,7
1,V1,0.0310177007866603,8
1,V1,0.126432770824668,6
1,V1,0.122542449600659,6
1,V1,0.00427368363367375,6
1,V1,0.0928439693438476,6
1,V1,0.0302861590365837,4
1,V1,0.14112489730536,6
1,V1,0.130388143572132,8
1,V1,0.0549757898408162,6
1,V1,0.0108939109178471,5
1,V1,0.173222682813351,6
1,V1,0.104087574143557,6
1,V1,0.0106060099412963,8
1,V1,0.0056812178477304,6
1,V1,0.0358536084858745,8
1,V1,0.110342284358524,8
1,V1,0.0696116279069411,6
1,V1,0.121338871643172,6
1,V1,0.0601817002884784,6
1,V1,0.0937918996562008,8
1,V1,0.0431133530365597,8
1,V1,0.00750672119402257,4
1,V1,-0.000249455812046495,4
1,V1,0.176851265618486,6
1,V1,0.151122333197015,6
1,V1,0.0428009272903923,8
1,V1,0.0774575823957454,8
1,V1,0.0627434189446584,6
1,V1,0.00409036739735535,6
1,V1,0.0660813466515257,6
1,V1,0.00450057902215917,3
1,V1,0.000309072592679815,8
1,V1,0.042066396522552,6
1,V1,-0.000337248489931774,6
1,V1,0.0627370304672468,6
1,V1,0.108038448604868,6
1,V1,0.122935448153835,6
1,V1,0.135064049581033,6
1,V1,0.172216235341509,6
1,V1,0.0330646934264555,8
1,V1,0.0935319516661982,8
1,V1,0.00384535690900589,5
1,V1,0.0858675355162796,6
1,V1,0.082462469629189,6
1,V1,0.258924159863533,6
1,V1,0.191553717545628,6
1,V1,0.196310008940712,6
1,V1,0.151985191110431,6
1,V1,0.0383264824047277,8
1,V1,0.123337821722037,6
1,V1,0.157962910315185,6
1,V1,0.0287942280181965,8
1,V1,0.190441643339041,6
